Program,Organization,Description,Status,Environmental_Themes,Services_&_Resources,Title_I_Schools_&_Low_Socioeconomic_Background_Focus,Title_I_School_Participants,Rural_Communities_Focus,Engaging_Rural_Communities,Adaptive_to_Local_Context,Other_Languages,COVID-19_Adaptations,Program_Locations,Program_Times,Groups_Served,Impact_Evaluation,Student_Engagement_Frequency,Teacher/Administrator_Engagement_Frequency,Academic_Standards_Alignment,Academic_Standards,Participant_Tracking,Participants_Served,Students_Served,Schools_Served,Teachers/Administrators_Served,Regions_Served,Timestamp
EcoSchools USA and Monarch Heroes,National Wildlife Federation,"NWF’s Eco-Schools USA helps schools become sustainable through hands-on learning with real-world applications. Through the Eco-Schools USA platform, we engage, educate, and empower “systems thinkers,” who understand scientific principles and can discern truth from misinformation, who are capable of solving environmental challenges of the future.",Available and active in Texas,"Air Quality, Conservation (Wildlife/Habitat), Energy, Food Systems/Nutrition, Green Building, Outdoor Learning, STEM, Transportation, Waste, Water","Classroom Volunteers/Presenters, Curriculum & Instructional Materials, Grant Funding, Professional Development or Consulting for Administrators, Professional Development for Teachers, Supporting Networks (Online/In-Person)","Yes, this is our core beneficiary and strategic priority.",51-75%,"No, but it is available to rural communities",Rural communities can be engaged through on-line participation. We do not service rural communities in Texas in person.,Yes,Our Monarch Mission curriculum which we use for both the Schoolyard Habitats and Biodiversity pathways of the Eco-Schools program is available in Spanish.,"We are currently offering all of our professional development virtually. We have added virtual classroom resources to our website, an Eco-Schools USA YouTube channel, and we have developed some at home audits for 5 of our Eco-Schools USA Pathways.","On School Campus, Virtual","During School Day, After School &/or Evenings","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators","Pre/Post-Program Survey, Post-Program Survey Only, Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Multiple times a week,Multiple times a week,Yes (please list them below),TEKS,Yes,8432,14280,68,272,"Region 1 – Edinburg, Region 4 – Houston, Region 11 – Fort Worth, Region 13 – Austin, Region 20 – San Antonio",44100.62593
Education and Outreach,Friends of the Rio Bosque,We offer outdoor experiences at Rio Bosque Wetlands Park for K-12 classes.,"Available in Texas, but not currently active","Conservation (Wildlife/Habitat), Outdoor Learning, STEM, Water","Classroom Volunteers/Presenters, Field Trips","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",51-75%,"No, but it is available to rural communities",,Yes,,"
The program is currently unavailable due to COVID-19","On School Campus, Off campus",During School Day,"Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators, Community/Family",Do Not Evaluate,Once a month,Once a year,No (skip the next question),,Yes,738,501,8,26,Region 19 – El Paso,44098.7983
Education Division - K-12+ Education Committee,Texas Section American Water Works Association,"We provide water industry information, expertise and resource support for Texas educators and students; and their communities.",Available and active in Texas,"Waste, Water","Classroom Volunteers/Presenters, Curriculum & Instructional Materials","No, this is not a focus in our outreach or programming.",Do not track,"No, but it is available to rural communities",Volunteers throughout the state are available to outreach in their own areas.,Yes,"""Water Geek"" videos are available in Spanish",,"On School Campus, Off campus, Virtual","During School Day, After School &/or Evenings, Summer, Weekends","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators, Community/Family",Post-Program Survey Only,Varies,Varies,No (skip the next question),,No (skip the next question),,,,,All Regions,44119.34979
Education Program,Edwards Aquifer Research and Data Center,Provide summer camps and school semester field days for students. We give students hands on experiences in aquatic science and adventure.,Available and active in Texas,"Outdoor Learning, Water","Directly Teaching Students, Professional Development for Teachers","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",26-50%,"No, but it is available to rural communities",,Yes,,,"On School Campus, Off campus","During School Day, Summer","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators",Pre/Post-Program Survey,Multiple times a week,Once a year,Yes (please list them below),TEKS,Yes,,,,,All Regions,44088.67479
Education Program,Flower Garden Banks National Marine Sanctuary,"We do presentations in our immediate community, in Galveston, to introduce students/teachers to the sanctuary, and coral reefs in general. This program is also available for summer camp groups, library programs, etc. and customized for each occasion.",Available and active in Texas,Conservation (Wildlife/Habitat),"Classroom Volunteers/Presenters, Curriculum & Instructional Materials, Professional Development for Teachers","No, this is not a focus in our outreach or programming.",51-75%,No,,No,,Before COVID-19 we were already occasionally doing these presentations via distance learning/webinars.,"On School Campus, Off campus, Virtual","During School Day, After School &/or Evenings, Summer","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators, Community/Family",Do Not Evaluate,Other [Upon request],Other [Upon request],No (skip the next question),,Yes,776,764,4,12,Region 4 – Houston,44089.36058
Education Trunk Rentals,Sea Center Texas [TPWD],"Sea Center Texas is a part of the TPWD Loaner Trunk program. These trunks are available for loan, free of charge, to formal and informal educators and youth leaders. Each trunk contains activities and materials appropriate for multiple age level groups.  ","Available in Texas, but not currently active",Conservation (Wildlife/Habitat),Curriculum & Instructional Materials,"This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,"No, but it is available to rural communities",,No,,,"On School Campus, Off campus","During School Day, After School &/or Evenings, Summer, Weekends","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators","Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Once a month,Once a month,No (skip the next question),,No (skip the next question),,,,,Region 4 – Houston,44119.65819
Educational Programming,Guadalupe-Blanco River Authority,We work with students and teachers in a 10 county district.  We provide consumable and online programs. We meet schools at outdoor nature centers to provide programming. ,Available and active in Texas,Water,"Classroom Volunteers/Presenters, Curriculum & Instructional Materials, Directly Teaching Students, Field Trips, Grant Funding, Professional Development for Teachers, Supporting Networks (Online/In-Person)","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",51-75%,"No, but it is available to rural communities",,No,two of our in class consumables are in Spanish,"Since there are no field trips, we have put together lessons in trunks to lend to schools.  And models. 
","On School Campus, Off campus, Virtual","During School Day, After School &/or Evenings, Summer, Weekends","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators, Community/Family",Do Not Evaluate,Multiple times a week,Twice a year,Yes (please list them below),Science TEKS,Yes,5000,10000,170,165,"Region 3 – Victoria, Region 13 – Austin, Region 20 – San Antonio",44102.72771
Edwards Aquifer Authority Education Outreach Center,Edwards Aquifer Authority,"In partnership with Morgan’s Wonderland Camp, the EAA Education Outreach Center (EAA EOC) will offer learning experiences that spark imagination, cultivate innovation, and champion inclusion all centered around South Central Texas’ vital groundwater source, the Edwards Aquifer, through interactive exhibits and programs that inspire people to become water conscious in their communities.",Unavailable in Texas,"Conservation (Wildlife/Habitat), STEM, Water","Curriculum & Instructional Materials, Field Trips","No, this is not a focus in our outreach or programming.",Do not track,"No, but it is available to rural communities",Never asked question,Never asked question,Never asked question,Never asked question,On School Campus,During School Day,Middle School <6-8>,"Post-Program Survey Only, Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Multiple times a week,Four Times per Year,No (skip the next question),,No (skip the next question),,,,,Region 20 – San Antonio,44146.44763
El Ranchito,El Ranchito,Nature immersion summer camp,Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning, Water, Workforce Development","Directly Teaching Students, Field Trips","Yes, this is our core beneficiary and strategic priority.",76-100%,"No, but it is available to rural communities",,Yes,Spanish,Virtual camp and curb-side pick-ups,Virtual,Summer,"Middle School <6-8>, High School <9-12>",Post-Program Survey Only,Once a year,sometimes,No (skip the next question),,No (skip the next question),,90,0,0,Region 13 – Austin,44117.74674
EmPowered Schools,Alliance to Save Energy,"EmPowered Schools is a K12 energy education program that enables students, teachers and families to prepare for and particpate in the transition to a clean energy future; and gives students the knowledge and skills to become advocates in advancing energy efficiency in their schools and homes.","Available in Texas, but not currently active","Energy, Green Building, STEM, Water, Workforce Development","Curriculum & Instructional Materials, Professional Development for Teachers, Supporting Networks (Online/In-Person)","Yes, this is our core beneficiary and strategic priority.",26-50%,Yes,"The EmPowered program is delivered through an interactive online platform with instruction through video lesson plans, followed by student-led activities.  All lesson are correlated to NGSS and Common Core Content Standards.  It's easy for teachers to implement and a lot of fun for students.",Yes,,"Due to COVID, we've created a complete ""EmPowered at Home"" curriculum, which students can access via computer, tablet or smartphone.",Virtual,During School Day,"Elementary School <K-5>, Middle School <6-8>, High School <9-12>","Pre/Post-Program Survey, Rubrics for Student Projects/Presentations",Multiple times a week,Multiple times a week,Yes (please list them below),"Common Core, NGSS",Yes,,4531,197,197,All Regions,44106.40677
Energize Schools,Strategic Energy Innovations,"The Energize Schools program is empowering K-12 students to become environmental leaders in their communities, green their facilities, and conserve resources through hands-on learning. Energize Schools offers curriculum, teacher trainings, instructional planning, direct co-instruction, green careers events, and conservation competitions. ",Unavailable in Texas,"Air Quality, Energy, Green Building, STEM, Transportation, Waste, Water, Workforce Development","Classroom Volunteers/Presenters, Curriculum & Instructional Materials, Directly Teaching Students, Professional Development or Consulting for Administrators, Professional Development for Teachers","Yes, this is our core beneficiary and strategic priority.",51-75%,"No, but it is available to rural communities",,Yes,A limited number of resources are available in Spanish. ,"Energize Schools has created suite of distance learning resources in response to the COVID-19 pandemic. Distance learning resources include teacher-facing and students-facing curriculum, virtual teacher trainings, a green careers webinar series, and a personal energy challenge. Updated curriculum resources are accessible via Google Drive to make curriculum sharing simple and adaptation easy for teachers. The Distance Learning curriculum contains hand-on project based learning activities and require little to no materials aside from household items. ","On School Campus, Off campus, Virtual","During School Day, After School &/or Evenings, Summer","High School <9-12>, Teachers/Administrators","Pre/Post-Program Survey, Qualitative/Informal (Focus Groups, Interviews, Testimonies), Rubrics for Student Projects/Presentations",Varies,Varies,Yes (please list them below),"Common Core, California CTE Standards, NGSS",Yes,0,0,0,0,Region 20 – San Antonio,44099.63525
Environmental Education,Green Hope Project,"We create workshops, cleanups, and events that promote Environmental Education in our communities and schools.",Available and active in Texas,"Conservation (Wildlife/Habitat), Green Building, Waste, Workforce Development","Classroom Volunteers/Presenters, Directly Teaching Students, Supporting Networks (Online/In-Person)",We do not track Title I and/or low socioeconomic status students.,Do not track,"No, but it is available to rural communities",Never asked question,Never asked question,Never asked question,Never asked question,Off campus,Weekends,High School <9-12>,"Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Once a week,Not applicable,No (skip the next question),,No (skip the next question),,,,,Region 19 – El Paso,44146.4803
Environmental Education,Quinta Mazatlan,"Quinta Mazatlan is now an urban sanctuary working to enrich people's lives by sharing knowledge about birds, plants, and environmental stewardship in South Texas. Quinta Mazatlan and its WBC partners promote birding and conservation of Valley habitat, especially as it benefits numerous avian residents and neo-tropical migrants. ",Available and active in Texas,"Conservation (Wildlife/Habitat), Green Building, Outdoor Learning, STEM","Curriculum & Instructional Materials, Directly Teaching Students, Field Trips, Professional Development for Teachers","Yes, this is our core beneficiary and strategic priority.",76-100%,Yes,,Yes,,"We kindly ask you to please…
•   Wear your face covering in City of McAllen buildings
•   Wash and sanitize your hands frequently
•   Practice social distancing
•   Use preventive measures like not touching your face
•   Stay home if you feel sick and visit another day
Our staff works hard to protect you…
•   Undergoes a health screen per shift
•   Has protective equipment (counter shields, masks & more)
•   Frequently sanitizes the buildings
•   Makes hand sanitizer visible and available
•   Displays best health practice signage as a reminder to all
•   Follows the state phased guidelines for individuals and public gatherings","Off campus, Virtual, On Site","During School Day, After School &/or Evenings, Summer, Weekends","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators, Community/Family",Pre/Post-Program Survey,Multiple times a week,Multiple times a week,Yes (please list them below),TEKS,Yes,10000,9000,25,1000,Region 1 – Edinburg,44118.44067
Environmental education ,Joppa Freedmen’s Town association ,We provide education on environmental justice resources to educate residents of black and brown communities.,Available and active in Texas,"Air Quality, Food Systems/Nutrition, Water","Curriculum & Instructional Materials, Field Trips, Supporting Networks (Online/In-Person)","No, this is not a focus in our outreach or programming.",0-25%,No,,Yes,,,Virtual,Weekends,Community/Family,Pre/Post-Program Survey,Once a month,Daily,No (skip the next question),,Yes,10,6,,4,Region 10 – Richardson,44107.19052
Environmental Impact Awareness and Action,Green Schools National Network,"Bringing awareness that inspires action is the prime purpose of this GSNN program. Coalescing the entire school community around environmental and economic data, leads to decreased waste, a lower carbon foot-print, and increased savings. Partners that utilize this program see firsthand the local environmental and economic positive impacts.",Available and active in Texas,"Air Quality, Conservation (Wildlife/Habitat), Energy, Food Systems/Nutrition, Outdoor Learning, STEM, Transportation, Waste, Water","Professional Development for Teachers, Supporting Networks (Online/In-Person), Other [Data Dashboard]","Yes, this is our core beneficiary and strategic priority.",51-75%,"No, but it is available to rural communities",,Yes,,,"On School Campus, Virtual",During School Day,"Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators","Pre/Post-Program Survey, Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Daily,Daily,Yes (please list them below),,No (skip the next question),425,400,1,25,"Region 11 – Fort Worth, Region 12 – Waco, Region 13 – Austin, Region 20 – San Antonio",44106.5879
Environmentor Seminars,Fossil Rim Wildlife Center,"The program is designed in a way to build and support formal and informal educators who are conducting environmental education for students. Each month has a different theme/focus (e.g. recognizing and breaking barriers, dealing with ecophobia, etc) to help participants become better mentors for students.",Available and active in Texas,"Conservation (Wildlife/Habitat), STEM, Workforce Development","Classroom Volunteers/Presenters, Professional Development or Consulting for Administrators, Professional Development for Teachers, Supporting Networks (Online/In-Person)","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,"No, but it is available to rural communities",,Yes,,The program was designed to help both formal and informal educators deal with the challenges of teaching outside of the normal realm of the classroom. It was created as a way to foster conversations about increasing environmental education awareness and opportunities during the pandemic.,Virtual,"After School &/or Evenings, Summer","Teachers/Administrators, Community/Family","Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Not applicable,Multiple times a month,No (skip the next question),,Yes,,,,,All Regions,44106.66972
EVS for Schools,Austin Energy - Electric Vehicles and Emerging Technologies,"Austin Energy has installed EV charging stations combined with correlating curriculum at Austin public schools for students and staff to utilize and serve as an educational living lab. Eligibility criteria for program recipient schools required a measurable percentage of economically disadvantaged students to reach underserved communities.
",Available and active in Texas,"Air Quality, Energy, Green Building, STEM, Transportation","Curriculum & Instructional Materials, Directly Teaching Students, Supporting Networks (Online/In-Person)","Yes, this is our core beneficiary and strategic priority.",76-100%,"No, but it is available to rural communities",The curriculum is available to any EcoRise district partner. Other cities and school districts are replicating this program in their own communities across the U.S.,Yes,Spanish,The curriculum access was made available free of charge to parents of EcoRise district partners (locally and nationally) to support at-home distanced learning. ,"On School Campus, Off campus, Virtual","During School Day, After School &/or Evenings, Summer, Weekends","Middle School <6-8>, High School <9-12>, Community/Family","Pre/Post-Program Survey, Post-Program Survey Only",Daily,Daily,Yes (please list them below),TEKS,Yes,,6850,4,400,Region 13 – Austin,44103.51528
Explore Austin,Explore Austin,"Explore Austin uses mentoring, leadership, and outdoor adventure to empower youth to reach their full potential. Through a leadership based outdoor adventure curriculum coupled with social-emotional learning components and long-term mentoring, Explore Austin is improving the well-being of each participant, their families, and the community.",Available and active in Texas,"Outdoor Learning, Workforce Development","Directly Teaching Students, Supporting Networks (Online/In-Person)","Yes, this is our core beneficiary and strategic priority.",76-100%,"No, but it is available to rural communities","Many of our participants have been forced out of the urban core due to affordability and live in rural areas (Buda, Del Valle, Manor, Kyle).",Yes,Not yet,We moved to a virtual program from March - August. We are now back to live programming on each Saturday.,"Off campus, Wilderness and park areas",Weekends,"Middle School <6-8>, High School <9-12>","Pre/Post-Program Survey, Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Once a month,Once a month,No (skip the next question),,Yes,300,300,7,0,Region 13 – Austin,44119.68902
Family Programs at the EWBC,Edinburg Scenic Wetlands and World Birding Center,The EWBC provides family-friendly programs throughout the year to engage children and adults in a variety of science and nature-based learning and activities. The programs vary in topic and target toddlers to middle school aged children.,"Available in Texas, but not currently active","Conservation (Wildlife/Habitat), Outdoor Learning, STEM",Other [Family Programs],"No, this is not a focus in our outreach or programming.",Do not track,"No, but it is available to rural communities",,Yes,,,at our Nature Center,Weekends,Community/Family,Do Not Evaluate,Multiple times a month,Not applicable,No (skip the next question),,Yes,1300,,,,Region 1 – Edinburg,44106.40942
Farm Internship,Urban Roots,"During 6 weeks in the summer, high school youth help grow thousands of pounds of fresh foods on the Urban Roots Farm while leading volunteers in service and collaborating with peers from different schools and backgrounds. Youth receive a paid stipend for their work and learn vital life and job skills.",Available and active in Texas,Food Systems/Nutrition,"Directly Teaching Students, Internships","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",51-75%,No,Never asked question,Never asked question,Never asked question,Never asked question,Off campus,Summer,High School <9-12>,"Pre/Post-Program Survey, Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Multiple times a week,Not applicable,No (skip the next question),,Yes,,,,,Region 13 – Austin,44146.44928
Field Experiences,Galveston Bay Foundation,"One-day field program located at GBF's Trinity Bay Discovery Center or Kemah Headquarters where participants are immersed in and learn about the many ecosystems that make up the Bay.  Student groups can choose from many TEKS-aligned activities to customize their Galveston Bay experience such as birding, fish ID, oysters, ecosystem exploration, marine debris, and more.",Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning, STEM","Directly Teaching Students, Field Trips, Grant Funding",We do not track Title I and/or low socioeconomic status students.,26-50%,"No, but it is available to rural communities",Never asked question,Never asked question,Never asked question,Never asked question,Off campus,During School Day,"Elementary School <K-5>, Middle School <6-8>, High School <9-12>","Post-Program Survey Only, Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Once a year,Once a year,Yes (please list them below),TEKS,Yes,174,166,3,8,Region 4 – Houston,44146.4686
Field Trips (K-12),Edinburg Scenic Wetlands and World Birding Center,"We offer a wide variety of environmental and nature based programs for youth and students. From Pre-K to College, we have programs to fit every need and interest. All of our programs are designed using the TEKS as a framework for addressing science objectives. 
",Available and active in Texas,"Air Quality, Conservation (Wildlife/Habitat), Energy, Outdoor Learning, STEM, Water","Curriculum & Instructional Materials, Directly Teaching Students, Field Trips","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,"No, but it is available to rural communities",,Yes,,,Off campus,During School Day,"Elementary School <K-5>, Middle School <6-8>, High School <9-12>",Do Not Evaluate,Multiple times a week,Multiple times a week,Yes (please list them below),TEKS,Yes,515,,7,,Region 1 – Edinburg,44106.3861
Field Trips / Onsite Programming,Texas State Aquarium,Students visit the Texas State Aquarium and participate in instructor-led programming.,"Available in Texas, but not currently active","Conservation (Wildlife/Habitat), STEM","Directly Teaching Students, Field Trips","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",51-75%,"No, but it is available to rural communities",,No,,Program has not been offered since March 2020.  ,Texas State Aquarium,During School Day,"Elementary School <K-5>, Middle School <6-8>, High School <9-12>","Pre/Post-Program Survey, Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Once a year,Not applicable,Yes (please list them below),TEKS,Yes,8099,,,,Region 2 – Corpus Christi,44093.44784
Field Trips and Onsite Programming,William R. Sinkin Eco Centro,"Field trips and site visits for pre-K through college as well as homeschool and informal students. Customizable activities include project-based and experiential learning: general sustainability, sustainable development, natural resource conservation, ecology, STEM, green building, food production.",Available and active in Texas,"Air Quality, Conservation (Wildlife/Habitat), Energy, Food Systems/Nutrition, Green Building, Outdoor Learning, STEM, Waste, Water, Workforce Development","Classroom Volunteers/Presenters, Curriculum & Instructional Materials, Directly Teaching Students, Field Trips, Professional Development or Consulting for Administrators, Professional Development for Teachers, Supporting Networks (Online/In-Person)","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",26-50%,"No, but it is available to rural communities",,Yes,,We are in the process of creating a digital library and catalog of services,"On School Campus, Off campus, Virtual","During School Day, After School &/or Evenings, Summer, Weekends","Elementary School <K-5>, Middle School <6-8>, High School <9-12>, Teachers/Administrators, Community/Family","Post-Program Survey Only, Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Varies,Varies,Yes (please list them below),TEKS,Yes,110,100,5,10,Region 20 – San Antonio,44103.48111
Field Trips and School Programs,Big Thicket National Preserve,"Big Thicket National Preserve offers a number of educational programs that address biodiversity, adaptations, general ecology, fire ecology, food chains and webs, ecosystem analysis, and other related topics.",Available and active in Texas,Outdoor Learning,"Directly Teaching Students, Field Trips","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",76-100%,"No, but it is available to rural communities",Never asked question,Never asked question,Never asked question,Never asked question,On School Campus,During School Day,Elementary School <K-5>,Do Not Evaluate,Once a year,Once a year,Yes (please list them below),TEKS,Yes,2550,2390,,160,"Region 4 – Houston, Region 5 – Beaumont, Region 6 – Huntsville, Region 7 – Kilgore",44146.38571
Field Trips at PHP,Phil Hardberger Park Conservancy,"Project Acorn field trips to Phil Hardberger Park (PHP), Title 1 school field trips. Guided nature trail walk.","Available in Texas, but not currently active","Conservation (Wildlife/Habitat), Outdoor Learning",Field Trips,"Yes, this is our core beneficiary and strategic priority.",51-75%,No,,Yes,,There have been no field trips while Covid-related restrictions have closed schools and halted in-person programing in San Antonio parks.,On School Campus,During School Day,Elementary School <K-5>,Post-Program Survey Only,Multiple times a month,Multiple times a month,Yes (please list them below),TEKS,No (skip the next question),,670,5,25,Region 20 – San Antonio,44105.31652
Food & Leadership Fellowship,Urban Roots,"The Food & Leadership Fellowship is a paid leadership development program for young adults in the Austin area that are between 17-23 years old. Working with us on the Urban Roots Farm, fellows learn how to grow thousands of pounds of sustainable produce while growing core professional development skills and completing an in-depth service project with a hunger relief partner in Austin.",Available and active in Texas,"Food Systems/Nutrition, Workforce Development","Directly Teaching Students, Internships","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",51-75%,No,Never asked question,Never asked question,Never asked question,Never asked question,Off campus,During School Day,High School <9-12>,"Pre/Post-Program Survey, Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Multiple times a week,Not applicable,No (skip the next question),,Yes,,28,,,Region 13 – Austin,44146.45017
FREd Talks,Fossil Rim Wildlife Center,Facebook Live hosted by Education Staff focusing on different themes throughout the month.,Available and active in Texas,"Conservation (Wildlife/Habitat), Food Systems/Nutrition, Outdoor Learning, STEM, Water",Field Trip,"This is not our core focus, but we serve a diverse spectrum of schools &/or students.",Do not track,"No, but it is available to rural communities",,Yes,,,Virtual,During School Day,Community/Family,"Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Multiple times a month,Not applicable,No (skip the next question),,No (skip the next question),,,,,All Regions,44106.66346
Fundraising,EarthShare of Texas,We fundraise via workplace giving and cause marketing for our 40 environmental nonprofit members.,Available and active in Texas,"Air Quality, Conservation (Wildlife/Habitat), Energy, Food Systems/Nutrition, Green Building, Outdoor Learning, Transportation, Waste, Water","Directly Teaching Students, Field Trips, Grant Funding, Internships",We do not track Title I and/or low socioeconomic status students.,Do not track,No,Never asked question,Never asked question,Never asked question,Never asked question,N/A,During School Day,Community/Family,Do Not Evaluate,Not applicable,Not applicable,No (skip the next question),,No (skip the next question),,,,,All Regions,44146.44546
Garden Educator Academy,On the Grow,A year-long academy that coaches teachers who provide garden education for school campuses. Teachers get hands-on learning in monthly classes on and off the campus. ,"Available in Texas, but not currently active","Conservation (Wildlife/Habitat), Food Systems/Nutrition, Outdoor Learning, STEM","Curriculum & Instructional Materials, Professional Development or Consulting for Administrators, Professional Development for Teachers, Supporting Networks (Online/In-Person)",We do not track Title I and/or low socioeconomic status students.,Do not track,"No, but it is available to rural communities",,Yes,,,"On School Campus, Off campus",During School Day,Teachers/Administrators,"Pre/Post-Program Survey, Post-Program Survey Only",Daily,Multiple times a month,No (skip the next question),,No (skip the next question),,,,,Region 4 – Houston,44089.4312
Gardening,The Circle School,Gardening classes for children PK3 - 8th grade.,Available and active in Texas,"Conservation (Wildlife/Habitat), Food Systems/Nutrition, Outdoor Learning, Waste, Water","Curriculum & Instructional Materials, Directly Teaching Students, Field Trips","No, this is not a focus in our outreach or programming.",Do not track,No,Never asked question,Never asked question,Never asked question,Never asked question,On School Campus,During School Day,"Elementary School <K-5>, Middle School <6-8>",Post-Program Survey Only,Multiple times a week,Once a week,Yes (please list them below),,Yes,94,90,1,3,Region 20 – San Antonio,44146.45118
GEAA Classroom Program,Greater Edwards Aquifer Alliance,"In partnership with Communities in Schools, GEAA presents classroom lecture/lab demonstrations to students in grades 6-12 from 74 schools across Bexar County.  Students learn how a karst aquifer is formed, how the landscape contributes to groundwater, and how humans impact this ecosystem. GEAA supplies lab equipment, classroom materials, contracts for curriculum development, classroom presentations, and teacher coaching.","Available in Texas, but not currently active","Conservation (Wildlife/Habitat), STEM, Waste, Water","Classroom Volunteers/Presenters, Curriculum & Instructional Materials, Directly Teaching Students, Professional Development or Consulting for Administrators, Professional Development for Teachers, Supporting Networks (Online/In-Person)","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",76-100%,No,Never asked question,Never asked question,Never asked question,Never asked question,On School Campus,During School Day,Middle School <6-8>,"Pre/Post-Program Survey, Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Once a year,Twice a year,Yes (please list them below),TEKS,Yes,2019,2019,,,Region 20 – San Antonio,44146.4742
GEAA College and Community Lectures,Greater Edwards Aquifer Alliance,"GEAA staff guest lectures for environmental science, political science, geography, marketing, and urban planning classes at colleges and universities in San Antonio.  Staff also provides lectures and classes for community organizations that require certification, such as the Master Gardeners and Master Naturalists.",Available and active in Texas,"Conservation (Wildlife/Habitat), Green Building, Outdoor Learning, Water, Workforce Development","Curriculum & Instructional Materials, Directly Teaching Students, Field Trips, Supporting Networks (Online/In-Person), Internships",We do not track Title I and/or low socioeconomic status students.,Do not track,No,Never asked question,Never asked question,Never asked question,Never asked question,On School Campus,During School Day,Community/Family,Do Not Evaluate,Once a year,Once a year,No (skip the next question),,Yes,188,180,6,8,Region 20 – San Antonio,44146.47148
GEAA Field Trips tp Government Canyon,Greater Edwards Aquifer Alliance,"The GEAA Field Trips program takes students to Government Canyon State Natural Area (GCSNA) to learn how the Edwards Aquifer system functions and its importance to sustaining life in this region.  GCSNA was chosen because it encompasses over 8,000 acres of the Edwards Aquifer Recharge Zone in northwest Bexar County, providing an especially rich selection of Aquifer features to explore. GCSNA staff provides presentations, guided hikes and lab exercises.",Available and active in Texas,"Conservation (Wildlife/Habitat), Outdoor Learning, STEM, Water","Classroom Volunteers/Presenters, Curriculum & Instructional Materials, Directly Teaching Students, Field Trips","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",76-100%,No,Never asked question,Never asked question,Never asked question,Never asked question,Off campus,During School Day,Middle School <6-8>,"Pre/Post-Program Survey, Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Once a year,Once a year,Yes (please list them below),TEKS,Yes,,,,,Region 20 – San Antonio,44146.47596
GEAA Teacher In Service Program,Greater Edwards Aquifer Alliance,"Teachers In-Service Karst Aquifer Workshops provide continuing education credit to earth science teachers of grades 5-12 of San Antonio's 17 independent school districts, and present comprehensive training, curricula and online audiovisual materials for use in the classroom.  Teachers receive lesson plans, lab exercises, lectures and hands on demonstrations about all aspects of karst aquifers, and on human impact on the Edwards Aquifer.","Available in Texas, but not currently active","Conservation (Wildlife/Habitat), Outdoor Learning, STEM, Water, Workforce Development","Classroom Volunteers/Presenters, Curriculum & Instructional Materials, Field Trips, Professional Development or Consulting for Administrators, Professional Development for Teachers, Supporting Networks (Online/In-Person)","This is not our core focus, but we serve a diverse spectrum of schools &/or students.",51-75%,"No, but it is available to rural communities",Never asked question,Never asked question,Never asked question,Never asked question,Off campus,During School Day,Teachers/Administrators,"Pre/Post-Program Survey, External Evaluation Partner, Qualitative/Informal (Focus Groups, Interviews, Testimonies)",Once a year,Once a year,Yes (please list them below),TEKS,Yes,,,,,Region 20 – San Antonio,44146.4777
